titulo;nome;desc;cargo_deleg;org;org_detalhe;cargo_org;conf;pais;nline;fonte;id_org_dupla
Mr.;Fernando Jacques Magalhaes Pimenta;"Consul General in Montreal
Consulate General of Brazil in Montreal
Montreal H3A 3A5
Canada";NA;Ministry of External Relations;Consulate General of Brazil in Montreal;Consul General;MP, EXMOP01;Brazil;1;Lista transcrita pelo secretariado;27
Mrs.;Renata Watkin;"Deputy Consul in Montreal
Ministry of Foreign Affairs
Consulate General of Brazil in Montreal
Montreal H3A 3A5
Canada";NA;Ministry of External Relations;Consulate General of Brazil in Montreal;Deputy Consul;MP, EXMOP01;Brazil;2;Lista transcrita pelo secretariado;27
Mr.;Elias Antonio Luna Almeida Santos;"Division of Environmental Policy and
Sustainable Development
Ministry of Foreign Relations
Esplanada  dos Ministérios
Bloco H , Annex 2 , Room 204
70.170-900 Brasilia - DF
Brazil";NA;MRE;Divisão de Política Ambiental e Desenvolvimento Sustentável;NA;MP, EXMOP01;Brazil;3;Lista transcrita pelo secretariado;3324
Mrs.;Liamarcia Silva Hora;"Technical Assessor
SQA/MMA
Ministry of Environment
Esplanada dos Ministerios 3LB
70.068-900 Brasilia - DF
Brazil";NA;MMA;Secretaria de Qualidade Ambiental;Technical Assessor;MP, EXMOP01;Brazil;4;Lista transcrita pelo secretariado;3325
Mr.;Jesulindo Souza Junior;"Federal Inspector of Agriculture
Animal Health and Plant Protection
Secretariat
Ministry of Agriculture, Livestock and
Food Supply
Esplanda dos Ministerios
Bloco """"D"""" Anexo-A SALA 343
Brasilia - DF 70043-900
Brazil";NA;MAPA;Secretaria de Saúde Animal e Sanidade Vegetal;Federal Inspector;MP, EXMOP01;Brazil;5;Lista transcrita pelo secretariado;3326
Mr.;Jorge De Souza;"Consulate General in Montreal
Montreal H3A 3A5
Canada";NA;Ministry of External Relations;Consulate General of Brazil in Montreal;NA;MP, EXMOP01;Brazil;6;Lista transcrita pelo secretariado;27
Mr.;Fernando Jacques Magalhaes Pimenta;"Consul General in Montreal
Consulate General of Brazil in Montreal
Montreal H3A 3A5
Canada";NA;Ministry of External Relations;Consulate General of Brazil in Montreal;Consul General;MP, EXMOP02;Brazil;1;Lista transcrita pelo secretariado;27
Mrs.;Renata Watkin;"Deputy Consul in Montreal
Ministry of Foreign Affairs
Consulate General of Brazil in Montreal
Montreal H3A 3A5
Canada";NA;Ministry of External Relations;Consulate General of Brazil in Montreal;Deputy Consul;MP, EXMOP02;Brazil;2;Lista transcrita pelo secretariado;27
Mr.;Elias Antonio Luna Almeida Santos;"Division of Environmental Policy and
Sustainable Development
Ministry of Foreign Relations
Esplanada  dos Ministérios
Bloco H , Annex 2 , Room 204
70.170-900 Brasilia - DF
Brazil";NA;MRE;Divisão de Política Ambiental e Desenvolvimento Sustentável;NA;MP, EXMOP02;Brazil;3;Lista transcrita pelo secretariado;3324
Mrs.;Liamarcia Silva Hora;"Technical Assessor
SQA/MMA
Ministry of Environment
Esplanada dos Ministerios 3LB
70.068-900 Brasilia - DF
Brazil";NA;MMA;Secretaria de Qualidade Ambiental;Technical Assessor;MP, EXMOP02;Brazil;4;Lista transcrita pelo secretariado;3325
Mr.;Jesulindo Souza Junior;"Federal Inspector of Agriculture
Animal Health and Plant Protection
Secretariat
Ministry of Agriculture, Livestock and
Food Supply
Esplanda dos Ministerios
Bloco """"D"""" Anexo-A SALA 343
Brasilia - DF 70043-900
Brazil";NA;MAPA;Secretaria de Saúde Animal e Sanidade Vegetal;Federal Inspector;MP, EXMOP02;Brazil;5;Lista transcrita pelo secretariado;3326
Mr.;Jorge De Souza;"Consulate General in Montreal
Montreal H3A 3A5
Canada";NA;Ministry of External Relations;Consulate General of Brazil in Montreal;Consulate General;MP, EXMOP02;Brazil;6;Lista transcrita pelo secretariado;27
Mr.;Rafael da Soler;"Third Secretary 
Division of Climate and Ozone (DCLIMA)
Ministry of Foreign Affairs
Esplanada dos Ministérios, Bloco H, Anexo II, Sala 204
Brasilia, DF 70170-900
BRAZIL";NA;MRE;Divisão de Clima e Ozônio;Third Secretary;MP, EXMOP03;Brazil;1;Lista transcrita pelo secretariado;3327
Mrs.;Magna Luduvice;"National Ozone Unit Officer
Management of the Ozone Layer Protection, Department of Climate Change
Ministry of Environment
SEPN 505 Bloco B sala 303
Brasilia/DF 70730-542
BRAZIL";NA;MMA;Departamento de Mudanças Climáticas, Gerência de Proteção da Camada de Ozônio, Unidade Nacional de Ozônio;Unit Officer;MP, EXMOP03;Brazil;2;Lista transcrita pelo secretariado;3328
Mrs.;Gabriela Lira;"Environmental Analyst
Management of the Ozone Layer Protection, Department of Climate Change
Ministry of Environment
SEPN 505 Bloco B sala 303
Brasilia/DF 70730-542
BRAZIL";NA;MMA;Departamento de Mudanças Climáticas, Gerência de Proteção da Camada de Ozônio;Environmental Analyst;MP, EXMOP03;Brazil;3;Lista transcrita pelo secretariado;3329
